year,month,product,TJ.NCV
2018,12,Total of Five Fuels,24231
2018,12,Heating and Other Gas Oil,2382
2018,12,Non-Jet Fuel Kerosene,5083
2018,12,Jet Fuel Kerosene,3169
2018,12,Motor Petrol,2943
2018,12,Road Diesel,10654
2018,11,Total of Five Fuels,24695
2018,11,Heating and Other Gas Oil,2469
2018,11,Non-Jet Fuel Kerosene,4199
2018,11,Jet Fuel Kerosene,3433
2018,11,Motor Petrol,2987
2018,11,Road Diesel,11607
2018,10,Total of Five Fuels,27014
2018,10,Heating and Other Gas Oil,2988
2018,10,Non-Jet Fuel Kerosene,4596
2018,10,Jet Fuel Kerosene,4577
2018,10,Motor Petrol,2987
2018,10,Road Diesel,11866
2018,9,Total of Five Fuels,24430
2018,9,Heating and Other Gas Oil,2815
2018,9,Non-Jet Fuel Kerosene,3403
2018,9,Jet Fuel Kerosene,4357
2018,9,Motor Petrol,2898
2018,9,Road Diesel,10957
2018,8,Total of Five Fuels,24327
2018,8,Heating and Other Gas Oil,2945
2018,8,Non-Jet Fuel Kerosene,1724
2018,8,Jet Fuel Kerosene,4885
2018,8,Motor Petrol,3166
2018,8,Road Diesel,11607
2018,7,Total of Five Fuels,21702
2018,7,Heating and Other Gas Oil,2728
2018,7,Non-Jet Fuel Kerosene,796
2018,7,Jet Fuel Kerosene,4709
2018,7,Motor Petrol,3032
2018,7,Road Diesel,10437
2018,6,Total of Five Fuels,23520
2018,6,Heating and Other Gas Oil,3378
2018,6,Non-Jet Fuel Kerosene,575
2018,6,Jet Fuel Kerosene,4621
2018,6,Motor Petrol,3166
2018,6,Road Diesel,11780
2018,5,Total of Five Fuels,25149
2018,5,Heating and Other Gas Oil,3551
2018,5,Non-Jet Fuel Kerosene,1768
2018,5,Jet Fuel Kerosene,4445
2018,5,Motor Petrol,3389
2018,5,Road Diesel,11996
2018,4,Total of Five Fuels,22407
2018,4,Heating and Other Gas Oil,2295
2018,4,Non-Jet Fuel Kerosene,2563
2018,4,Jet Fuel Kerosene,3521
2018,4,Motor Petrol,2898
2018,4,Road Diesel,11130
2018,3,Total of Five Fuels,25010
2018,3,Heating and Other Gas Oil,2685
2018,3,Non-Jet Fuel Kerosene,5171
2018,3,Jet Fuel Kerosene,3081
2018,3,Motor Petrol,2943
2018,3,Road Diesel,11130
2018,2,Total of Five Fuels,23746
2018,2,Heating and Other Gas Oil,2728
2018,2,Non-Jet Fuel Kerosene,5524
2018,2,Jet Fuel Kerosene,2333
2018,2,Motor Petrol,2854
2018,2,Road Diesel,10307
2018,1,Total of Five Fuels,23043
2018,1,Heating and Other Gas Oil,2339
2018,1,Non-Jet Fuel Kerosene,4331
2018,1,Jet Fuel Kerosene,2993
2018,1,Motor Petrol,2943
2018,1,Road Diesel,10437
